CompanyLocationID,CompanyID,CompanyName,CompanyDescription,CompanyLocationDescription,secuirtycheckpoint,Hours,CompanyURL,AirlineCode,Terminal,Location,Categories,urlLogoImage,urlFrontImage,urlMenuDoc,AirportName,LocationPhone,CompanyLocationLastUpdated,CompanyLastUpdated,AddressLastUpdated,Lat,Long,Address,City,Zip,ProcessDate
1637,1073,The Coffee Bean & Tea Leaf,,"The Coffee Bean & Tea Leaf has an assortment of specialty coffee and blended coffee drinks, as well as tea and baked goods.",1,,,,Terminal 8,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-462-1537,2018-02-05 06:44:43.680000000,2017-08-09 13:47:59.113000000,,33.942725,-118.397345,800 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
50,32,Air New Zealand,, ,0,,www.airnz.com,NZ,TBIT,,AIR CARRIER,,,,LAX,(310) 646-3069,,,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1734,1170,Engine Co. No. 28,,"Located in T8, Engine Co. No. 28 is a restaurant serving Classic American dishes with a Southern touch with a full bar.",1,,,,Terminal 8,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,866-820-1178,2018-02-02 05:48:22.297000000,,,33.942075,-118.397222,800 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1961,1395,Jersey Mike's,,,1,,,,Terminal 2,,FOOD AND BEVERAGE FACILITIES,,,,LAX,310-301-9008,2018-11-19 07:05:07.067000000,2018-11-14 11:28:05.540000000,,,,,,,2019-04-11T00:00:02.000
1917,1353,Book Soup,,Search for a book or magazine at the Book Soup Bookstore.,1,,,,TBIT,,GIFT SHOPS AND NEWS STANDS,,,,LAX,424-800-2262,2018-11-28 14:01:30.777000000,2017-06-20 14:05:22.680000000,,,,,,,2019-04-11T00:00:02.000
1856,1292,Dunkin Donuts,,Enjoy a bit of the East Coast at Dunkin' Donuts.,1,,,,Terminal 4,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,866-820-1178,2018-02-05 09:30:19.420000000,,,33.941007,-118.406911,400 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
40,27,Air China,, ,0,,www.airchina.com.cn,AC,TBIT,,AIR CARRIER,,,,LAX,(310) 215-1188,,,,,,380 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1634,1070,B Grill By BOA Steakhouse,,"B Grill serves up classic sandwiches and burgers as well as an assortment of fish and steak entrees.
",1,,,,Terminal 7,Departure Level,FOOD AND BEVERAGE FACILITIES,,,,LAX,866-820-1178,2018-02-05 13:52:38.650000000,,,33.94187381840336,-118.39978509650825,700 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
418,274,Hawaiian Airlines,, ,0,,www.hawaiianair.com,HA,Terminal 5,,AIR CARRIER,,,,LAX,(310) 417-1675,2017-05-17 04:24:52.720000000,2017-05-17 04:25:01.197000000,,,,500 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
1950,648,Horizon Air,,,,,www.alaskaair.com/Destinations/CityGuides.aspx?city=lax&CID=QX_OLA_BT_LAX_APT,,Terminal 6,Departure Level,AIR CARRIER,,,,LAX,(800) 426-0333,2018-08-22 14:18:10.993000000,,,,,600 World Way,Los Angeles,90045,2019-04-11T00:00:02.000
